2024-05-22 10:20:10.6606 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
2024-05-22 10:20:13.7670 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider
2024-05-22 10:20:14.8625 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: 4A3F19302DC503DCF872708C86F161CC3D96CF0F)
2024-05-22 10:20:15.2309 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting started
2024-05-22 10:20:15.3695 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly BillingAPI
2024-05-22 10:20:15.3695 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh
2024-05-22 10:20:15.3695 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net
2024-05-22 10:20:15.6855 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q3AM3CJJV" accepted.
2024-05-22 10:20:15.6855 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q3AM3CJK0" accepted.
2024-05-22 10:20:15.7363 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q3AM3CJK0" started.
2024-05-22 10:20:15.7363 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q3AM3CJJV" started.
2024-05-22 10:20:21.0265 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q3AM3CJK1" accepted.
2024-05-22 10:20:21.0265 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q3AM3CJK1" started.
2024-05-22 10:20:21.8481 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN3Q3AM3CJK1 established using the following protocol: Tls12
2024-05-22 10:20:22.5725 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Wildcard detected, all requests with hosts will be allowed.
2024-05-22 10:20:24.9193 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup is scheduled to include browser refresh script injection.
2024-05-22 10:20:26.7216 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Authentication of the HTTPS connection timed out.
2024-05-22 10:20:26.7407 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Authentication of the HTTPS connection timed out.
2024-05-22 10:20:26.7407 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q3AM3CJK0" stopped.
2024-05-22 10:20:26.7407 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q3AM3CJJV" stopped.
2024-05-22 10:20:26.7531 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN3Q3AM3CJK0" sending FIN because: "The Socket transport's send loop completed gracefully."
2024-05-22 10:20:26.7531 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN3Q3AM3CJJV" sending FIN because: "The Socket transport's send loop completed gracefully."
2024-05-22 10:20:30.2036 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup was updated to include browser refresh script injection.
2024-05-22 10:20:39.1377 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN3Q3AM3CJK1" received FIN.
2024-05-22 10:20:39.1377 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3Q3AM3CJK1" is closed. The last processed stream ID was 7.
2024-05-22 10:20:39.1377 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN3Q3AM3CJK1" sending FIN because: "The client closed the connection."
2024-05-22 10:20:39.1377 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q3AM3CJK1" stopped.
2024-05-22 13:20:21.1855 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
2024-05-22 13:20:22.0431 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider
2024-05-22 13:20:23.3531 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: 4A3F19302DC503DCF872708C86F161CC3D96CF0F)
2024-05-22 13:20:23.5326 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting started
2024-05-22 13:20:23.5326 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly BillingAPI
2024-05-22 13:20:23.5326 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh
2024-05-22 13:20:23.5326 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net
2024-05-22 13:20:23.8237 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q6FB5RHGD" accepted.
2024-05-22 13:20:23.8237 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q6FB5RHGD" started.
2024-05-22 13:20:23.9326 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q6FB5RHGE" accepted.
2024-05-22 13:20:23.9326 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q6FB5RHGE" started.
2024-05-22 13:20:27.8422 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q6FB5RHGF" accepted.
2024-05-22 13:20:27.9432 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q6FB5RHGF" started.
2024-05-22 13:20:28.0751 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN3Q6FB5RHGF established using the following protocol: Tls12
2024-05-22 13:20:28.2388 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Wildcard detected, all requests with hosts will be allowed.
2024-05-22 13:20:28.6485 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup is scheduled to include browser refresh script injection.
2024-05-22 13:20:31.7879 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup was updated to include browser refresh script injection.
2024-05-22 13:20:34.1206 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Authentication of the HTTPS connection timed out.
2024-05-22 13:20:34.1206 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Authentication of the HTTPS connection timed out.
2024-05-22 13:20:34.1206 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q6FB5RHGD" stopped.
2024-05-22 13:20:34.1206 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3Q6FB5RHGE" stopped.
2024-05-22 13:20:34.1297 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN3Q6FB5RHGD" sending FIN because: "The Socket transport's send loop completed gracefully."
2024-05-22 13:20:34.1297 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN3Q6FB5RHGE" sending FIN because: "The Socket transport's send loop completed gracefully."
2024-05-22 13:20:34.7413 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN3Q6FB5RHGF" received FIN.
