2024-04-18 12:21:59.2224 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
2024-04-18 12:21:59.9422 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider
2024-04-18 12:22:02.1848 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: 4A3F19302DC503DCF872708C86F161CC3D96CF0F)
2024-04-18 12:22:02.2310 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting started
2024-04-18 12:22:02.2316 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly BillingAPI
2024-04-18 12:22:02.2316 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh
2024-04-18 12:22:02.2316 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net
2024-04-18 12:22:02.4274 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEG6L860Q" accepted.
2024-04-18 12:22:02.4274 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEG6L860Q" started.
2024-04-18 12:22:02.6244 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEG6L860R" accepted.
2024-04-18 12:22:02.6244 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEG6L860R" started.
2024-04-18 12:22:05.0899 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEG6L860S" accepted.
2024-04-18 12:22:05.0958 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEG6L860S" started.
2024-04-18 12:22:05.2388 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN2VEG6L860S established using the following protocol: Tls12
2024-04-18 12:22:05.6229 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Wildcard detected, all requests with hosts will be allowed.
2024-04-18 12:22:06.6750 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup is scheduled to include browser refresh script injection.
2024-04-18 12:22:11.6647 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup was updated to include browser refresh script injection.
2024-04-18 12:22:12.4641 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Authentication of the HTTPS connection timed out.
2024-04-18 12:22:12.4720 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEG6L860Q" stopped.
2024-04-18 12:22:12.4720 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2VEG6L860Q" sending FIN because: "The Socket transport's send loop completed gracefully."
2024-04-18 12:22:15.0287 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2VEG6L860S" received FIN.
2024-04-18 12:22:15.0287 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEG6L860S" is closed. The last processed stream ID was 7.
2024-04-18 12:22:15.0287 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2VEG6L860S" sending FIN because: "The client closed the connection."
2024-04-18 12:22:15.0460 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEG6L860S" stopped.
2024-04-18 12:24:22.3886 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
2024-04-18 12:24:22.6520 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider
2024-04-18 12:24:24.0831 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: 4A3F19302DC503DCF872708C86F161CC3D96CF0F)
2024-04-18 12:24:24.1505 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting started
2024-04-18 12:24:24.1607 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly BillingAPI
2024-04-18 12:24:24.1607 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh
2024-04-18 12:24:24.1607 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net
2024-04-18 12:24:24.2626 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEHGTSVS1" accepted.
2024-04-18 12:24:24.2626 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEHGTSVS1" started.
2024-04-18 12:24:24.2726 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2VEHGTSVS1" received FIN.
2024-04-18 12:24:24.2916 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Failed to authenticate HTTPS connection.
2024-04-18 12:24:24.3004 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEHGTSVS1" stopped.
2024-04-18 12:24:24.3004 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2VEHGTSVS1" sending FIN because: "The Socket transport's send loop completed gracefully."
2024-04-18 12:24:25.9324 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEHGTSVS2" accepted.
2024-04-18 12:24:25.9324 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEHGTSVS2" started.
2024-04-18 12:24:26.0106 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN2VEHGTSVS2 established using the following protocol: Tls12
2024-04-18 12:24:26.1181 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Wildcard detected, all requests with hosts will be allowed.
2024-04-18 12:24:26.5469 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup is scheduled to include browser refresh script injection.
2024-04-18 12:24:26.8335 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup was updated to include browser refresh script injection.
2024-04-18 12:24:30.3035 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2VEHGTSVS2" received FIN.
2024-04-18 12:24:30.3035 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" is closed. The last processed stream ID was 7.
2024-04-18 12:24:30.3035 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2VEHGTSVS2" sending FIN because: "The client closed the connection."
2024-04-18 12:24:30.3035 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEHGTSVS2" stopped.
2024-04-18 12:26:57.0186 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEHGTSVS3" accepted.
2024-04-18 12:26:57.0525 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEHGTSVS3" started.
2024-04-18 12:26:57.0947 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN2VEHGTSVS3 established using the following protocol: Tls12
2024-04-18 12:26:57.1012 | DEBUG | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | PUT requests are not supported
2024-04-18 12:26:57.1498 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | 1 candidate(s) found for the request path '/api/CLCMP01/EditCompany'
2024-04-18 12:26:57.1498 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | Endpoint 'BillingAPI.Controllers.CLCMP01Controller.EditCompany (BillingAPI)' with route pattern 'api/CLCMP01/EditCompany' is valid for the request path '/api/CLCMP01/EditCompany'
2024-04-18 12:26:57.1498 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request matched endpoint 'BillingAPI.Controllers.CLCMP01Controller.EditCompany (BillingAPI)'
2024-04-18 12:26:57.2407 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of authorization filters (in the following order): BillingAPI.Filters.AuthenticationFilter, BillingAPI.Filters.AuthorizationFilter
2024-04-18 12:26:57.2407 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of resource filters (in the following order): None
2024-04-18 12:26:57.2407 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of action filters (in the following order): Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter (Order: -3000), Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter (Order: -2000), BillingAPI.Filters.ActionExecutedFilter
2024-04-18 12:26:57.2407 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of exception filters (in the following order): None
2024-04-18 12:26:57.2407 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of result filters (in the following order): Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter (Order: -2000)
2024-04-18 12:27:00.8834 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing controller factory for controller BillingAPI.Controllers.CLCMP01Controller (BillingAPI)
2024-04-18 12:27:00.9755 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed controller factory for controller BillingAPI.Controllers.CLCMP01Controller (BillingAPI)
2024-04-18 12:27:01.0129 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder | Attempting to bind parameter 'id' of type 'System.Int32' ...
2024-04-18 12:27:01.0129 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinder | Attempting to bind parameter 'id' of type 'System.Int32' using the name 'id' in request data ...
2024-04-18 12:27:01.0129 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinder | Done attempting to bind parameter 'id' of type 'System.Int32'.
2024-04-18 12:27:01.0129 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder | Done attempting to bind parameter 'id' of type 'System.Int32'.
2024-04-18 12:27:01.0129 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder | Attempting to validate the bound parameter 'id' of type 'System.Int32' ...
2024-04-18 12:27:01.0225 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder | Done attempting to validate the bound parameter 'id' of type 'System.Int32'.
2024-04-18 12:27:01.0225 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder | Attempting to bind parameter 'objDTOCMP01' of type 'BillingAPI.Models.POCO.DTOCMP01' ...
2024-04-18 12:27:01.0225 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinder | Attempting to bind parameter 'objDTOCMP01' of type 'BillingAPI.Models.POCO.DTOCMP01' using the name '' in request data ...
2024-04-18 12:27:01.0225 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinder | Selected input formatter 'Microsoft.AspNetCore.Mvc.Formatters.SystemTextJsonInputFormatter' for content type 'application/json'.
2024-04-18 12:27:01.0487 | DEBUG | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HN2VEHGTSVS3", Request id "0HN2VEHGTSVS3:00000001": started reading request body.
2024-04-18 12:27:01.0487 | DEBUG | Microsoft.AspNetCore.Server.Kestrel | Connection id "0HN2VEHGTSVS3", Request id "0HN2VEHGTSVS3:00000001": done reading request body.
2024-04-18 12:27:01.0960 | DEBUG | Microsoft.AspNetCore.Mvc.Formatters.SystemTextJsonInputFormatter | JSON input formatter succeeded, deserializing to type 'BillingAPI.Models.POCO.DTOCMP01'
2024-04-18 12:27:01.0960 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinder | Done attempting to bind parameter 'objDTOCMP01' of type 'BillingAPI.Models.POCO.DTOCMP01'.
2024-04-18 12:27:01.0960 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder | Done attempting to bind parameter 'objDTOCMP01' of type 'BillingAPI.Models.POCO.DTOCMP01'.
2024-04-18 12:27:01.0960 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder | Attempting to validate the bound parameter 'objDTOCMP01' of type 'BillingAPI.Models.POCO.DTOCMP01' ...
2024-04-18 12:27:01.1297 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder | Done attempting to validate the bound parameter 'objDTOCMP01' of type 'BillingAPI.Models.POCO.DTOCMP01'.
2024-04-18 12:28:12.5712 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector | List of registered output formatters, in the following order: Microsoft.AspNetCore.Mvc.Formatters.HttpNoContentOutputFormatter, Microsoft.AspNetCore.Mvc.Formatters.StringOutputFormatter, Microsoft.AspNetCore.Mvc.Formatters.StreamOutputFormatter, Microsoft.AspNetCore.Mvc.Formatters.SystemTextJsonOutputFormatter
2024-04-18 12:28:12.5846 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector | No information found on request to perform content negotiation.
2024-04-18 12:28:12.5846 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector | Attempting to select an output formatter without using a content type as no explicit content types were specified for the response.
2024-04-18 12:28:12.5846 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector | Attempting to select the first formatter in the output formatters list which can write the result.
2024-04-18 12:28:12.5846 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.DefaultOutputFormatterSelector | Selected output formatter 'Microsoft.AspNetCore.Mvc.Formatters.SystemTextJsonOutputFormatter' and content type 'application/json' to write the response.
2024-04-18 12:28:25.4198 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2VEHGTSVS3" received FIN.
2024-04-18 12:28:25.4198 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS3" is closed. The last processed stream ID was 1.
2024-04-18 12:28:25.4198 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2VEHGTSVS3" sending FIN because: "The client closed the connection."
2024-04-18 12:28:25.4198 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEHGTSVS3" stopped.
2024-04-18 12:29:43.4360 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEHGTSVS4" accepted.
2024-04-18 12:29:43.4360 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2VEHGTSVS4" started.
2024-04-18 12:29:43.4360 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN2VEHGTSVS4 established using the following protocol: Tls12
2024-04-18 12:29:43.4452 | DEBUG | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | POST requests are not supported
2024-04-18 12:29:43.4452 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | 1 candidate(s) found for the request path '/api/CLBIL01/AddBill'
2024-04-18 12:29:43.4452 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | Endpoint 'BillingAPI.Controllers.CLBIL01Controller.AddBill (BillingAPI)' with route pattern 'api/CLBIL01/AddBill' is valid for the request path '/api/CLBIL01/AddBill'
2024-04-18 12:29:43.4452 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request matched endpoint 'BillingAPI.Controllers.CLBIL01Controller.AddBill (BillingAPI)'
2024-04-18 12:29:43.4452 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of authorization filters (in the following order): BillingAPI.Filters.AuthenticationFilter, BillingAPI.Filters.AuthorizationFilter
2024-04-18 12:29:43.4452 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of resource filters (in the following order): None
2024-04-18 12:29:43.4452 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of action filters (in the following order): Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter (Order: -3000), Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter (Order: -2000)
2024-04-18 12:29:43.4452 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of exception filters (in the following order): None
2024-04-18 12:29:43.4452 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of result filters (in the following order): Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter (Order: -2000)
2024-04-18 12:29:43.4704 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing controller factory for controller BillingAPI.Controllers.CLBIL01Controller (BillingAPI)
2024-04-18 12:29:43.6017 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed controller factory for controller BillingAPI.Controllers.CLBIL01Controller (BillingAPI)
