2024-05-23 10:28:11.0996 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
2024-05-23 10:28:13.6770 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider
2024-05-23 10:28:13.9445 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: 4A3F19302DC503DCF872708C86F161CC3D96CF0F)
2024-05-23 10:28:14.0008 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting started
2024-05-23 10:28:14.0008 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly BillingAPI
2024-05-23 10:28:14.0008 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh
2024-05-23 10:28:14.0008 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net
2024-05-23 10:28:14.0995 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3QSJPSHKP9" accepted.
2024-05-23 10:28:14.1044 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3QSJPSHKP9" started.
2024-05-23 10:28:14.4688 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3QSJPSHKPA" accepted.
2024-05-23 10:28:14.4688 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3QSJPSHKPA" started.
2024-05-23 10:28:16.4731 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3QSJPSHKPB" accepted.
2024-05-23 10:28:16.4731 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3QSJPSHKPB" started.
2024-05-23 10:28:16.8203 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN3QSJPSHKPB established using the following protocol: Tls12
2024-05-23 10:28:16.9535 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Wildcard detected, all requests with hosts will be allowed.
2024-05-23 10:28:17.3385 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup is scheduled to include browser refresh script injection.
2024-05-23 10:28:17.8117 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup was updated to include browser refresh script injection.
2024-05-23 10:28:20.9085 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN3QSJPSHKPB" received FIN.
2024-05-23 10:28:20.9151 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3QSJPSHKPB" is closed. The last processed stream ID was 7.
2024-05-23 10:28:20.9151 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN3QSJPSHKPB" sending FIN because: "The client closed the connection."
2024-05-23 10:28:20.9151 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3QSJPSHKPB" stopped.
2024-05-23 10:28:24.1418 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Authentication of the HTTPS connection timed out.
2024-05-23 10:28:24.1418 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3QSJPSHKP9" stopped.
2024-05-23 10:28:24.1418 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN3QSJPSHKP9" sending FIN because: "The Socket transport's send loop completed gracefully."
2024-05-23 10:28:24.4854 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Authentication of the HTTPS connection timed out.
2024-05-23 10:28:24.4854 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3QSJPSHKPA" stopped.
