2024-04-11 10:02:04.6689 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
2024-04-11 10:02:07.0004 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider
2024-04-11 10:02:09.2188 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: 4A3F19302DC503DCF872708C86F161CC3D96CF0F)
2024-04-11 10:02:09.2890 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting started
2024-04-11 10:02:09.2890 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly BillingAPI
2024-04-11 10:02:09.2890 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh
2024-04-11 10:02:09.2890 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net
2024-04-11 10:02:09.6683 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2PS1CVCQC5" accepted.
2024-04-11 10:02:09.6683 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2PS1CVCQC6" accepted.
2024-04-11 10:02:09.6683 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2PS1CVCQC5" started.
2024-04-11 10:02:09.6683 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2PS1CVCQC6" started.
2024-04-11 10:02:12.1741 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2PS1CVCQC7" accepted.
2024-04-11 10:02:12.1741 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2PS1CVCQC7" started.
2024-04-11 10:02:12.2831 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN2PS1CVCQC7 established using the following protocol: Tls12
2024-04-11 10:02:12.4480 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Wildcard detected, all requests with hosts will be allowed.
2024-04-11 10:02:13.0183 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup is scheduled to include browser refresh script injection.
2024-04-11 10:02:14.1065 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup was updated to include browser refresh script injection.
2024-04-11 10:02:18.1271 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2PS1CVCQC7" received FIN.
2024-04-11 10:02:18.1271 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PS1CVCQC7" is closed. The last processed stream ID was 7.
2024-04-11 10:02:18.1271 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2PS1CVCQC7" sending FIN because: "The client closed the connection."
2024-04-11 10:02:18.1432 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2PS1CVCQC7" stopped.
2024-04-11 10:02:19.7009 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Authentication of the HTTPS connection timed out.
2024-04-11 10:02:19.7009 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Authentication of the HTTPS connection timed out.
2024-04-11 10:02:19.7009 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2PS1CVCQC5" stopped.
