224-04-05 12:16:00.8307 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
224-04-05 12:16:01.7941 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider
224-04-05 12:16:07.2332 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: 4A3F19302DC503DCF872708C86F161CC3D96CF0F)
224-04-05 12:16:07.3999 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting started
224-04-05 12:16:07.3999 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly BillingAPI
224-04-05 12:16:07.3999 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh
224-04-05 12:16:07.3999 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net
224-04-05 12:16:07.8079 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2L7G996UKK" accepted.
224-04-05 12:16:07.8079 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2L7G996UKK" started.
224-04-05 12:16:07.9187 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2L7G996UKL" accepted.
224-04-05 12:16:07.9187 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2L7G996UKL" started.
224-04-05 12:16:10.4928 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2L7G996UKM" accepted.
224-04-05 12:16:10.5013 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2L7G996UKM" started.
224-04-05 12:16:10.6260 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN2L7G996UKM established using the following protocol: Tls12
224-04-05 12:16:10.8785 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Wildcard detected, all requests with hosts will be allowed.
224-04-05 12:16:11.4470 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup is scheduled to include browser refresh script injection.
224-04-05 12:16:12.2155 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup was updated to include browser refresh script injection.
224-04-05 12:16:15.1928 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2L7G996UKM" received FIN.
