2024-04-10 09:35:32.9312 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
2024-04-10 09:35:35.1925 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider
2024-04-10 09:35:37.4654 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: 4A3F19302DC503DCF872708C86F161CC3D96CF0F)
2024-04-10 09:35:37.5250 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting started
2024-04-10 09:35:37.5250 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly BillingAPI
2024-04-10 09:35:37.5250 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh
2024-04-10 09:35:37.5250 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net
2024-04-10 09:35:37.7803 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2P2DTBBKD7" accepted.
2024-04-10 09:35:37.7803 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2P2DTBBKD7" started.
2024-04-10 09:35:37.9372 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2P2DTBBKD8" accepted.
2024-04-10 09:35:37.9372 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2P2DTBBKD8" started.
2024-04-10 09:35:40.1044 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2P2DTBBKD9" accepted.
2024-04-10 09:35:40.1044 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2P2DTBBKD9" started.
2024-04-10 09:35:40.1839 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN2P2DTBBKD9 established using the following protocol: Tls12
2024-04-10 09:35:40.2904 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Wildcard detected, all requests with hosts will be allowed.
2024-04-10 09:35:40.6959 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup is scheduled to include browser refresh script injection.
2024-04-10 09:35:41.5428 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup was updated to include browser refresh script injection.
2024-04-10 09:35:45.2437 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2P2DTBBKD9" received FIN.
2024-04-10 09:35:45.2437 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2P2DTBBKD9" is closed. The last processed stream ID was 7.
2024-04-10 09:35:45.2437 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2P2DTBBKD9" sending FIN because: "The client closed the connection."
2024-04-10 09:35:45.2595 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2P2DTBBKD9" stopped.
2024-04-10 09:35:47.8057 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Authentication of the HTTPS connection timed out.
2024-04-10 09:35:47.8057 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2P2DTBBKD7" stopped.
2024-04-10 09:35:47.8057 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2P2DTBBKD7" sending FIN because: "The Socket transport's send loop completed gracefully."
2024-04-10 09:35:47.9442 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Authentication of the HTTPS connection timed out.
2024-04-10 09:35:47.9442 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2P2DTBBKD8" stopped.
2024-04-10 09:35:47.9442 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2P2DTBBKD8" sending FIN because: "The Socket transport's send loop completed gracefully."
2024-04-10 09:37:14.5515 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
