2024-05-24 11:12:58.4270 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
2024-05-24 11:12:59.2202 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider
2024-05-24 11:13:00.7152 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: 4A3F19302DC503DCF872708C86F161CC3D96CF0F)
2024-05-24 11:13:00.7909 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting started
2024-05-24 11:13:00.7909 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly BillingAPI
2024-05-24 11:13:00.7909 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh
2024-05-24 11:13:00.7909 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net
2024-05-24 11:13:00.8550 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3RMHFQ2KC7" accepted.
2024-05-24 11:13:00.8550 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3RMHFQ2KC7" started.
2024-05-24 11:13:01.1876 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3RMHFQ2KC8" accepted.
2024-05-24 11:13:01.1876 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3RMHFQ2KC8" started.
2024-05-24 11:13:03.2608 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3RMHFQ2KC9" accepted.
2024-05-24 11:13:03.2940 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3RMHFQ2KC9" started.
2024-05-24 11:13:03.5439 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN3RMHFQ2KC9 established using the following protocol: Tls12
2024-05-24 11:13:03.8288 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Wildcard detected, all requests with hosts will be allowed.
2024-05-24 11:13:04.3210 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup is scheduled to include browser refresh script injection.
2024-05-24 11:13:05.2781 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup was updated to include browser refresh script injection.
2024-05-24 11:13:08.1659 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN3RMHFQ2KC9" received FIN.
2024-05-24 11:13:08.1763 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMHFQ2KC9" is closed. The last processed stream ID was 7.
2024-05-24 11:13:08.1763 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN3RMHFQ2KC9" sending FIN because: "The client closed the connection."
2024-05-24 11:13:08.1901 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3RMHFQ2KC9" stopped.
2024-05-24 11:13:10.8851 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Authentication of the HTTPS connection timed out.
2024-05-24 11:13:10.8851 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN3RMHFQ2KC7" stopped.
