2024-04-26 11:04:52.9698 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.9698 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.9698 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.9698 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:52.9698 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-26 11:04:53.0096 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35MAAUPNNP" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
