2024-05-01 09:36:54.9973 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:54.9973 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:54.9973 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:54.9973 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.0030 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.0030 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.0030 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.0030 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.0030 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.0030 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.0030 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.0030 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.0030 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.0030 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.0030 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-05-01 09:36:55.0030 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SN" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
