224-04-04 16:43:33.3924 | TRACE | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Range header's value is empty.
224-04-04 16:43:33.3924 | TRACE | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Range header's value is empty.
224-04-04 16:43:33.3924 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending HEADERS frame for stream ID 9 with length 93 and flags END_HEADERS.
224-04-04 16:43:33.3924 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending HEADERS frame for stream ID 5 with length 43 and flags END_HEADERS.
224-04-04 16:43:33.3924 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 9 with length 16384 and flags NONE.
224-04-04 16:43:33.3924 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 9 with length 16384 and flags NONE.
224-04-04 16:43:33.3924 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 9 with length 16384 and flags NONE.
224-04-04 16:43:33.3924 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 9 with length 16384 and flags NONE.
224-04-04 16:43:33.3924 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 5 with length 16384 and flags NONE.
224-04-04 16:43:33.3924 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 5 with length 16384 and flags NONE.
224-04-04 16:43:33.3924 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 5 with length 16384 and flags NONE.
224-04-04 16:43:33.3924 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 5 with length 16384 and flags NONE.
224-04-04 16:43:33.4062 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending HEADERS frame for stream ID 7 with length 35 and flags END_HEADERS.
224-04-04 16:43:33.4062 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4062 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4062 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4062 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4062 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 9 with length 16384 and flags NONE.
224-04-04 16:43:33.4062 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 9 with length 16384 and flags NONE.
