2024-04-03 09:44:53.9096 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
2024-04-03 09:44:57.4386 | DEBUG | Logging.Startup | debug from startup
2024-04-03 09:44:59.0975 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider
2024-04-03 09:44:59.7582 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: 4A3F19302DC503DCF872708C86F161CC3D96CF0F)
2024-04-03 09:44:59.8051 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting started
2024-04-03 09:44:59.8051 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Logging
2024-04-03 09:44:59.8051 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh
2024-04-03 09:44:59.8051 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net
2024-04-03 09:44:59.9962 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2JIIGER6VF" received FIN.
2024-04-03 09:44:59.9962 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2JIIGER6VG" received FIN.
2024-04-03 09:45:00.0445 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2JIIGER6VG" accepted.
2024-04-03 09:45:00.0445 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2JIIGER6VF" accepted.
2024-04-03 09:45:00.0445 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2JIIGER6VG" started.
2024-04-03 09:45:00.0445 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2JIIGER6VF" started.
2024-04-03 09:45:00.1453 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Failed to authenticate HTTPS connection.
2024-04-03 09:45:00.1453 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Failed to authenticate HTTPS connection.
2024-04-03 09:45:00.1598 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2JIIGER6VG" stopped.
2024-04-03 09:45:00.1711 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2JIIGER6VG" sending FIN because: "The Socket transport's send loop completed gracefully."
2024-04-03 09:45:00.1711 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2JIIGER6VF" stopped.
2024-04-03 09:45:00.1711 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2JIIGER6VF" sending FIN because: "The Socket transport's send loop completed gracefully."
2024-04-03 09:45:04.2446 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2JIIGER6VH" accepted.
2024-04-03 09:45:04.2658 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2JIIGER6VH" started.
2024-04-03 09:45:04.5726 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN2JIIGER6VH established using the following protocol: Tls12
2024-04-03 09:45:04.9110 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Wildcard detected, all requests with hosts will be allowed.
2024-04-03 09:45:05.5701 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup is scheduled to include browser refresh script injection.
2024-04-03 09:45:06.5896 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Response markup was updated to include browser refresh script injection.
2024-04-03 09:45:11.0895 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2JIIGER6VH" received FIN.
2024-04-03 09:45:11.0895 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" is closed. The last processed stream ID was 7.
2024-04-03 09:45:11.0895 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2JIIGER6VH" sending FIN because: "The client closed the connection."
2024-04-03 09:45:11.0895 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2JIIGER6VH" stopped.
2024-04-03 09:45:13.6489 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2JIIGER6VI" accepted.
2024-04-03 09:45:13.6489 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2JIIGER6VI" started.
2024-04-03 09:45:13.6571 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Connection 0HN2JIIGER6VI established using the following protocol: Tls12
2024-04-03 09:45:13.6571 | DEBUG | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | DELETE requests are not supported
2024-04-03 09:45:13.7198 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | 1 candidate(s) found for the request path '/api/CLStationary/DeleteItem'
2024-04-03 09:45:13.7198 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | Endpoint 'Logging.Controllers.CLStationary.DeleteItem (Logging)' with route pattern 'api/CLStationary/DeleteItem' is valid for the request path '/api/CLStationary/DeleteItem'
2024-04-03 09:45:13.7198 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request matched endpoint 'Logging.Controllers.CLStationary.DeleteItem (Logging)'
2024-04-03 09:45:13.7684 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of authorization filters (in the following order): None
2024-04-03 09:45:13.7684 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of resource filters (in the following order): None
2024-04-03 09:45:13.7684 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of action filters (in the following order): Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter (Order: -3000), Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter (Order: -2000)
2024-04-03 09:45:13.7684 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of exception filters (in the following order): None
2024-04-03 09:45:13.7684 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of result filters (in the following order): Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter (Order: -2000)
2024-04-03 09:45:13.7684 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing controller factory for controller Logging.Controllers.CLStationary (Logging)
2024-04-03 09:45:13.8273 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed controller factory for controller Logging.Controllers.CLStationary (Logging)
